 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.820,0.238,0.145,0.194,0.373,0.284,0.414,0.618,0.338,0.431,0.387,0.323,0.026,0.339,0.391,0.188,0.147,0.194,0.473,0.379
f_min.final_model.000.01.det_cont.csv,0.328,0.200,0.197,0.193,0.062,0.096,0.101,0.258,0.141,0.510,0.778,0.689,0.000,0.141,0.258,0.118,0.125,0.370,0.154,0.510
f_min.final_model.000.02.det_cont.csv,0.354,0.316,0.267,0.268,0.113,0.153,0.145,0.246,0.167,0.667,0.596,0.756,0.000,0.226,0.344,0.162,0.172,0.510,0.164,0.711
f_min.final_model.000.03.det_cont.csv,0.086,0.750,0.600,0.686,0.185,0.340,0.218,0.072,0.043,0.308,0.164,0.367,0.032,0.362,0.233,0.367,0.465,0.383,0.200,0.275
f_min.final_model.000.04.det_cont.csv,0.258,0.628,0.479,0.650,0.400,0.560,0.510,0.209,0.145,0.293,0.114,0.254,0.059,0.732,0.397,0.370,0.400,0.200,0.404,0.263
f_min.final_model.000.05.det_cont.csv,0.200,0.413,0.347,0.326,0.082,0.197,0.131,0.169,0.138,0.522,0.327,0.468,0.000,0.222,0.357,0.232,0.250,0.718,0.097,0.489
f_min.final_model.000.06.det_cont.csv,0.691,0.111,0.080,0.086,0.270,0.189,0.292,0.655,0.459,0.393,0.375,0.292,0.038,0.227,0.468,0.120,0.081,0.206,0.383,0.344
f_min.final_model.000.07.det_cont.csv,0.246,0.431,0.510,0.438,0.403,0.761,0.571,0.200,0.123,0.219,0.080,0.149,0.103,0.542,0.254,0.750,0.622,0.172,0.357,0.190
f_min.final_model.000.08.det_cont.csv,0.482,0.148,0.076,0.119,0.448,0.279,0.451,0.588,0.549,0.230,0.164,0.088,0.091,0.315,0.500,0.138,0.094,0.125,0.431,0.200
f_min.final_model.000.09.det_cont.csv,0.404,0.314,0.259,0.286,0.588,0.471,0.732,0.418,0.288,0.200,0.103,0.092,0.113,0.511,0.393,0.340,0.288,0.113,0.556,0.211
f_min.final_model.000.10.det_cont.csv,0.130,0.444,0.535,0.488,0.234,0.587,0.380,0.101,0.072,0.250,0.106,0.190,0.047,0.375,0.188,0.769,0.806,0.218,0.236,0.218
f_min.final_model.000.11.det_cont.csv,0.344,0.078,0.029,0.066,0.297,0.185,0.281,0.509,0.500,0.138,0.085,0.043,0.109,0.228,0.379,0.074,0.030,0.029,0.412,0.076
f_min.final_model.000.12.det_cont.csv,0.323,0.090,0.057,0.078,0.299,0.209,0.328,0.448,0.783,0.164,0.110,0.069,0.103,0.233,0.474,0.100,0.074,0.119,0.267,0.172
f_min.final_model.000.13.det_cont.csv,0.562,0.048,0.023,0.051,0.217,0.118,0.197,0.531,0.477,0.333,0.377,0.282,0.023,0.143,0.441,0.046,0.024,0.171,0.304,0.328
f_min.final_model.000.14.det_cont.csv,0.456,0.296,0.203,0.269,0.585,0.444,0.682,0.473,0.386,0.210,0.114,0.088,0.091,0.479,0.500,0.276,0.228,0.125,0.521,0.220
f_min.final_model.000.15.det_cont.csv,0.161,0.553,0.395,0.447,0.141,0.264,0.189,0.129,0.115,0.488,0.218,0.370,0.000,0.333,0.373,0.286,0.311,0.488,0.170,0.452
f_min.final_model.000.16.det_cont.csv,0.121,0.694,0.512,0.629,0.271,0.468,0.327,0.075,0.029,0.222,0.062,0.204,0.033,0.442,0.180,0.512,0.564,0.235,0.306,0.189
f_min.final_model.000.17.det_cont.csv,0.013,0.000,0.049,0.000,0.116,0.014,0.015,0.014,0.091,0.015,0.044,0.015,0.548,0.000,0.014,0.015,0.000,0.000,0.000,0.000
f_min.final_model.000.18.det_cont.csv,0.218,0.367,0.431,0.393,0.455,0.765,0.509,0.192,0.123,0.176,0.059,0.117,0.151,0.509,0.240,0.686,0.577,0.135,0.349,0.151
f_min.final_model.000.19.det_cont.csv,0.211,0.043,0.042,0.045,0.000,0.000,0.000,0.135,0.079,0.219,0.528,0.375,0.014,0.000,0.077,0.000,0.014,0.210,0.056,0.250
